Boyd,Dustin Boyd,C,"",16 Jul 1986,"Winnipeg, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8471310
Brashear,Donald Brashear,L,"",7 Jan 1972,"Bedford, IN, USA",http://canadiens.nhl.com/club/player.htm?id=8459246
Brisebois,Patrice Brisebois,D,"",27 Jan 1971,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445739
Brisson,Gerry Brisson,R,"",3 Sep 1937,"St. Boniface, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445166
Broden,Connie Broden,C,"",6 Apr 1932,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445171
Broderick,Len Broderick,G,"",11 Oct 1938,"Toronto, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8449840
Brown,Brad Brown,D,"",27 Dec 1975,"Baie Verte, NL, CAN",http://canadiens.nhl.com/club/player.htm?id=8460508
Brown,George Brown,C,"",17 May 1912,"Winnipeg, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445184
Brubaker,Jeffrey Brubaker,L,"",24 Feb 1958,"Frederick, MD, USA",http://canadiens.nhl.com/club/player.htm?id=8445723
Brunet,Benoit Brunet,L,"",24 Aug 1968,"Ste-Anne-de-Bellevue, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445734
Bucyk,Randy Bucyk,C,"",9 Nov 1962,"Edmonton, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445752
Budaj,Peter Budaj,G,MTL,18 Sep 1982,"Banská Bystrica, SVK",http://canadiens.nhl.com/club/player.htm?id=8469514
Bulis,Jan Bulis,C,"",18 Mar 1978,"Pardubice, CZE",http://canadiens.nhl.com/club/player.htm?id=8464998
Burchell,Fred Burchell,C,"",9 Jan 1931,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445257
Bure,Valeri Bure,R,"",13 Jun 1974,"Moscow, RUS",http://canadiens.nhl.com/club/player.htm?id=8458969
Bureau,Marc Bureau,C,"",19 May 1966,"Trois-Rivieres, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445775
Burke,Marty Burke,D,"",28 Jan 1905,"Toronto, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445262
Buswell,Walt Buswell,D,"",6 Nov 1907,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445296
Cain,Herb Cain,L,"",24 Dec 1912,"Newmarket, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445307
Cameron,Billy Cameron,R,"",5 Dec 1896,"Timmins, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445312
Cameron,Harry Cameron,D,"",6 Feb 1890,"Pembroke, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445314
Cammalleri,Michael Cammalleri,L,MTL,8 Jun 1982,"Richmond Hill, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8469500
Campbell,Dave Campbell,D,"",27 Apr 1896,"Lachute, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445317
Campbell,Jim Campbell,R,"",3 Feb 1973,"Worcester, MA, USA",http://canadiens.nhl.com/club/player.htm?id=8458542
Campeau,Tod Campeau,C,"",4 Jun 1923,"St-Jerome, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445320
Campedelli,Dom Campedelli,D,"",3 Apr 1964,"Cohasset, ME, USA",http://canadiens.nhl.com/club/player.htm?id=8445905
Campoli,Chris Campoli,D,MTL,9 Jul 1984,"Mississauga, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8470329
Carbonneau,Guy Carbonneau,C,"",18 Mar 1960,"Sept-Iles, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446036
Carle,Mathieu Carle,D,ANA,30 Sep 1987,"Gatineau, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8473438
Carlson,Kent Carlson,D,"",11 Jan 1962,"Concord, NH, USA",http://canadiens.nhl.com/club/player.htm?id=8445936
Carnback,Patrik Carnback,R,"",1 Feb 1968,"Goteborg, SWE",http://canadiens.nhl.com/club/player.htm?id=8455801
Caron,Alain Caron,R,"",27 Apr 1938,"Dolbeau, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445329
Carse,Bob Carse,L,"",19 Jul 1919,"Edmonton, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445344
Carson,Gerry Carson,D,"",10 Oct 1905,"Parry Sound, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445347
Carter,Billy Carter,C,"",2 Dec 1937,"Cornwall, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445348
Carveth,Joe Carveth,R,"",21 Mar 1918,"Regina, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8445349
Cassels,Andrew Cassels,C,"",23 Jul 1969,"Bramalea, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8446003
Chabot,Frederic Chabot,G,"",12 Feb 1968,"Herbertville Station, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446134
Chabot,John Chabot,C,"",18 May 1962,"Summerside, PE, CAN",http://canadiens.nhl.com/club/player.htm?id=8446029
Chabot,Lorne Chabot,G,"",5 Oct 1900,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8449850
Chamberlain,Murph Chamberlain,L,"",14 Feb 1915,"Shawville, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445358
Charbonneau,Jose Charbonneau,R,"",2 Nov 1966,"Ferme-Neuve, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446043
Charron,Eric Charron,D,"",14 Jan 1970,"Verdun, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8455843
Charron,Guy Charron,C,"",24 Jan 1949,"Verdun, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446044
Chartraw,Raymond Chartraw,D,"",13 Jul 1954,"Caracus, VEN",http://canadiens.nhl.com/club/player.htm?id=8446047
Chelios,Chris Chelios,D,"",25 Jan 1962,"Chicago, IL, USA",http://canadiens.nhl.com/club/player.htm?id=8446053
Chipchura,Kyle Chipchura,C,PHX,19 Feb 1986,"Westlock, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8471231
Chorske,Tom Chorske,R,"",18 Sep 1966,"Minneapolis, MN, USA",http://canadiens.nhl.com/club/player.htm?id=8446026
Chouinard,Eric Chouinard,C,"",8 Jul 1980,"Atlanta, GA, USA",http://canadiens.nhl.com/club/player.htm?id=8467342
Ciccone,Enrico Ciccone,D,"",10 Apr 1970,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8455875
Clark,Brett Clark,D,TBL,23 Dec 1976,"Wapella, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8465122
Cleghorn,Odie Cleghorn,R,"",19 Sep 1891,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445496
Cleghorn,Sprague Cleghorn,D,"",11 Mar 1890,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445497
Clune,Wally Clune,D,"",20 Feb 1930,"Toronto, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445500
Cole,Erik Cole,L,MTL,6 Nov 1978,"Oswego, NY, USA",http://canadiens.nhl.com/club/player.htm?id=8467396
Collings,Norm Collings,L,"",6 May 1910,"Bradford, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445504
Collins,Bill Collins,R,"",13 Jul 1943,"Ottawa, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445505
Comeau,Reynald Comeau,C,"",25 Oct 1948,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446120
Connelly,Wayne Connelly,C,"",16 Dec 1939,"Rouyn, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445521
Connor,Cameron Connor,R,"",10 Aug 1954,"Winnipeg, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8446147
Conroy,Craig Conroy,C,CGY,4 Sep 1971,"Potsdam, NY, USA",http://canadiens.nhl.com/club/player.htm?id=8455919
Cooper,Carson Cooper,R,"",17 Jul 1899,"Cornwall, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445541
Corbeau,Bert Corbeau,D,"",9 Feb 1894,"Penetanguishene, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445571
Cormier,Roger Cormier,R,"",23 Mar 1905,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445578
Corriveau,Andre Corriveau,R,"",15 May 1928,"Grand'Mere, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445636
Corson,Shayne Corson,L,"",13 Aug 1966,"Barrie, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8446167
Cote,Alain Cote,D,"",14 Apr 1967,"Montmagny, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446177
Côté,Jean-Philippe Côté,D,"",22 Apr 1982,"Charlesbourg, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8468745
Coughlin,Jack Coughlin,R,"",6 Jun 1892,"Douro, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445740
Cournoyer,Yvan Cournoyer,R,"",22 Nov 1943,"Drummondville, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446200
Courtnall,Russ Courtnall,R,"",2 Jun 1965,"Duncan, BC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446208
Couture,Billy Couture,D,"",1 Mar 1892,"North Bay, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445744
Couture,Gerry Couture,R,"",6 Aug 1925,"Saskatoon, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8445745
Couture,Rosie Couture,R,"",24 Jul 1905,"St. Boniface, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445746
Cox,Abbie Cox,G,"",19 Jul 1904,"London, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8449858
Cressman,Glen Cressman,C,"",29 Aug 1934,"Petersburg, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445809
Cristofoli,Ed Cristofoli,R,"",14 May 1967,"Trail, BC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446009
Crutchfield,Nels Crutchfield,C,"",12 Jul 1911,"Knowlton, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445824
Cude,Wilf Cude,G,"",4 Jul 1910,"Barry, GBR",http://canadiens.nhl.com/club/player.htm?id=8449861
Cullimore,Jassen Cullimore,D,"",4 Dec 1972,"Simcoe, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8458543
Cummins,Jim Cummins,R,"",15 May 1970,"Dearborn, MI, USA",http://canadiens.nhl.com/club/player.htm?id=8455984
Currie,Hugh Currie,D,"",22 Oct 1925,"Saskatoon, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8445832
Curry,Floyd Curry,R,"",11 Aug 1925,"Chapleau, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445833
Curtis,Paul Curtis,D,"",29 Sep 1947,"Peterborough, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445834
Cushenan,Ian Cushenan,D,"",29 Nov 1933,"Hamilton, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445835
Cyr,Claude Cyr,G,"",27 Mar 1939,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8449862
Czerkawski,Mariusz Czerkawski,R,"",13 Apr 1972,"Radomsko, POL",http://canadiens.nhl.com/club/player.htm?id=8458620
D'Agostini,Matt D'Agostini,R,STL,23 Oct 1986,"Sault Ste. Marie, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8471851
Dackell,Andreas Dackell,R,"",29 Dec 1972,"Gavle, SWE",http://canadiens.nhl.com/club/player.htm?id=8465090
Dagenais,Pierre Dagenais,R,"",4 Mar 1978,"Blainville, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8465003
Dahlin,Kjell Dahlin,C,"",2 Mar 1963,"Timra, SWE",http://canadiens.nhl.com/club/player.htm?id=8446287
Daigneault,Jean-Jacques Daigneault,D,"",12 Oct 1965,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446286
Dame,Bunny Dame,L,"",6 Dec 1913,"Edmonton, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445841
Damphousse,Vincent Damphousse,C,"",17 Dec 1967,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446303
Dandenault,Mathieu Dandenault,D,"",3 Feb 1976,"Sherbrooke, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8460540
Danis,Yann Danis,G,EDM,21 Jun 1981,"Lafontaine, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8471186
Daoust,Daniel Daoust,C,"",29 Feb 1960,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446311
Darby,Craig Darby,C,"",26 Sep 1972,"Oneida, NY, USA",http://canadiens.nhl.com/club/player.htm?id=8458557
Darche,Mathieu Darche,L,MTL,26 Nov 1976,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8468463
Davis,Lorne Davis,R,"",20 Jul 1930,"Regina, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8445851
Dawe,Jason Dawe,R,"",29 May 1973,"North York, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8458549
Dawes,Bob Dawes,D,"",29 Nov 1924,"Saskatoon, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8445853
Dawes,Nigel Dawes,L,"",9 Feb 1985,"Winnipeg, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8470741
DeJordy,Denis DeJordy,G,"",12 Nov 1938,"St-Hyacinthe, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8449866
Deblois,Lucien Deblois,C,"",21 Jun 1957,"Joliette, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446353
Delisle,Jonathan Delisle,R,"",30 Jun 1977,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8462113
Delisle,Xavier Delisle,C,"",24 May 1977,"Quebec City, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8465125
Delorme,Gilbert Delorme,D,"",25 Nov 1962,"Boucherville, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446372
Demers,Tony Demers,R,"",22 Jul 1917,"Chambly, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445868
Denis,Lulu Denis,R,"",7 Jun 1928,"Vonda, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8445872
Denis,Marc Denis,G,"",1 Aug 1977,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8462055
Desaulniers,Gerard Desaulniers,C,"",31 Dec 1928,"Shawinigan Falls, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445883
Descoteaux,Matthieu Descoteaux,D,"",23 Sep 1977,"Pierreville, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8464972
Desharnais,David Desharnais,C,MTL,14 Sep 1986,"Laurier-Station, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8471976
Desilets,Joffre Desilets,R,"",16 Apr 1915,"Capreol, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445884
Desjardins,Eric Desjardins,D,"",14 Jun 1969,"Rouyn, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446407
Desjardins,Martin Desjardins,C,"",28 Jan 1967,"Ste. Rose, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446397
Deslauriers,Jacques Deslauriers,D,"",3 Sep 1928,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445886
Dheere,Marcel Dheere,L,"",19 Dec 1920,"St. Boniface, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445891
Di Pietro,Paul Di Pietro,C,"",8 Sep 1970,"Sault Ste. Marie, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8456080
Diaz,Raphael Diaz,D,MTL,9 Jan 1986,"Baar, CHE",http://canadiens.nhl.com/club/player.htm?id=8476244
Diduck,Gerald Diduck,D,"",6 Apr 1965,"Edmonton, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8446417
Dionne,Gilbert Dionne,L,"",19 Sep 1970,"Drummondville, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446415
Dirk,Robert Dirk,D,"",20 Aug 1966,"Regina, SK, CAN",http://canadiens.nhl.com/club/player.htm?id=8446376
Doherty,Fred Doherty,R,"",15 Aug 1887,"Norwood, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445914
Doran,John Doran,D,"",24 May 1911,"Belleville, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445926
Dorohoy,Eddie Dorohoy,C,"",13 Mar 1929,"Medicine Hat, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445944
Dowd,James Dowd,C,"",25 Dec 1968,"Brick, NJ, USA",http://canadiens.nhl.com/club/player.htm?id=8456100
Downey,Aaron Downey,R,"",27 Aug 1974,"Shelburne, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8465992
Drillon,Gordie Drillon,R,"",23 Oct 1913,"Moncton, NB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445950
Drouin,Jude Drouin,C,"",28 Oct 1948,"Mont-Louis, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446482
Drouin,Polly Drouin,L,"",16 Jan 1916,"Verdun, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445953
Dryden,Kenneth Dryden,G,"",8 Aug 1947,"Hamilton, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8446490
Dube,Gilles Dube,L,"",2 Jun 1927,"Sherbrooke, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445956
Duff,Dick Duff,L,"",18 Feb 1936,"Kirkland Lake, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445957
Dufresne,Donald Dufresne,D,"",10 Apr 1967,"Rimouski, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446501
Dupont,Normand Dupont,L,"",5 Feb 1957,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8446535
Durnan,Bill Durnan,G,"",22 Jan 1916,"Toronto, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8449910
Dussault,Norm Dussault,C,"",26 Sep 1925,"Springfield, MA, USA",http://canadiens.nhl.com/club/player.htm?id=8445967
Dwyer,Gordie Dwyer,L,"",25 Jan 1978,"Dalhousie, NB, CAN",http://canadiens.nhl.com/club/player.htm?id=8465020
Dykhuis,Karl Dykhuis,D,"",8 Jul 1972,"Sept-Iles, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8456149
