Tyler Kennedy
Dave Keon
Albert Kerr
Dave Kerr
Nikolai Khabibulin
Anton Khudobin
John Kilpatrick
Hec Kilrea
Wally Kilrea
Orest Kindrachuk
Hobie Kitchen
Dede Klein
Jon Klemm
Petr Klíma
Joe Klukay
Mike Knuble
Joe Kocur
Vladimir Konstantinov
Tomáš Kopecký
John Kordic
Alexei Kovalev
Vyacheslav Kozlov
David Krejčí
Stan Kroenke
Niklas Kronwall
Uwe Krupp
Mike Krushelnyski
Pavel Kubina
Chris Kunitz
Jari Kurri
Tom Kurvers
Maxim Kuznetsov
Nick Kypreos
Elmer Lach
Normand Lacombe
Pierre Lacroix
Andrew Ladd
Guy Lafleur
Fred Lake
Newsy Lalonde
Mike Lalor
Mark Lamb
Yvon Lambert
Lou Lamoriello
Leo Lamoureux
Gord Lane
Myles Lane
Jamie Langenbrunner
Dave Langevin
Rod Langway
Jacques Laperrière
Guy Lapointe
Martin Lapointe
Igor Larionov
Steve Larmer
Wildor Larochelle
Michel Larocque
Chad LaRose
Claude Larose
Pierre Larouche
Jack Laviolette
Peter Laviolette
Jamie Leach
Reggie Leach
Brett Lebda
Stéphan Lebeau
Vincent Lecavalier
Jack LeClair
John LeClair
Albert Leduc
Gary Leeman
Brian Leetch
Sylvain Lefebvre
Chuck Lefley
Manny Legace
Hughie Lehman
Jere Lehtinen
Jacques Lemaire
Moe Lemay
Claude Lemieux
Mario Lemieux
Alfred Lépine
Curtis Leschyshyn
Art Lesieur
Percy LeSueur
Bill Lesuk
Jack Leswick
Tony Leswick
Kristopher Letang
Alex Levinsky
Danny Lewicki
Dave Lewis
Herbie Lewis
Doug Lidster
Nicklas Lidström
Charlie Liffiton
Ernie Liffiton
Andreas Lilja
Ted Lindsay
Willy Lindström
James Link
Ken Linseman
Carl Liscombe
Jim Lites
Ed Litzenberger
Troy Loney
Ross Lonsberry
Håkan Loob
Jim Lorentz
Bob Lorimer
Clem Loughlin
Ron Low
Kevin Lowe
Milan Lucic
Craig Ludwig
Brad Lukowich
Dave Lumley
Harry Lumley
Gilles Lupien
Vic Lynn
Charlie Lyons
Chris McAlpine
Bert McCaffrey
Morgan McCammon
Kevin McCarthy
Darren McCarty
Kevin McClelland
Frank McCool
John McCormack
John McCreedy
Brad McCrimmon
Ab McDonald
Andy McDonald
Jack Patrick McDonald
Kilby MacDonald
Lanny McDonald
Wilfred McDonald
Joe McDonnell
Hartland MacDougall
Robert MacDougall
Shawn McEachern
Mike McEwen
Jim McFadden
Don McFadyen
Frank McGee
James A. McGee
Roy McGiffin
Billy McGimsie
Bruce MacGregor
Pierre McGuire
Al MacInnis
Norm Maciver
Calum MacKay
Doug McKay
Mickey MacKay
Randy McKay
Fleming Mackell
Jack Mackell
Alex McKendry
Don McKenney
Bill MacKenzie
Jim McKenzie
John McKenzie
Howard Mackie
Frederic McLaughlin
Jack McLean
John MacLean
Paul MacLean
Rick MacLeish
Brian MacLellan
Todd McLellan
"Mike McMahon, Sr."
Sammy McManus
Bill MacMillan
John MacMillan
John McMullen
David McNab
Max McNab
George McNamara
Howard McNamara
Al MacNeil
Gerry McNeil
Jamie Macoun
Mike McPhee
Bud MacPherson
Adam McQuaid
Harry MacQuestion
Pat McReavy
Fred McRobie
Marty McSorley
Craig MacTavish
John Madden
Frank Mahovlich
Peter Mahovlich
Fern Majeau
Chico Maki
Vladimir Malakhov
David Maley
Evgeni Malkin
Ken Mallen
Greg Malone
Jeff Malone
Joe Malone
Kirk Maltby
Georges Mantha
Sylvio Mantha
Milan Marcetta
Mush March
Todd Marchant
Don Marcotte
Hector Marini
Gus Marker
Jack Marks
Bert Marshall
Don Marshall
Grant Marshall
Jack Marshall
Clare Martin
Jean Martineau
Paul Masnick
Stéphane Matteau
Richard Matvichuk
Johnny Matz
Brad May
Eddie Mazur
Bob McCammon
Derek Meech
Howie Meeker
Harry Meeking
Paul Meger
Roland Melanson
Gilles Meloche
Wayne Merrick
Horace Merrill
Éric Messier
Mark Messier
Harry Messy
Don Metz
Nick Metz
Dave Michayluk
Stan Mikita
Bill Miller
Drew Miller
Earl Miller
Joseph Anthony Miller
Dmitri Mironov
Ivan Mitchell
Mike Modano
Fredrik Modin
Travis Moen
Alexander Mogilny
J. David Molson
Hartland Molson
Percival Molson
Armand Mondou
Pierre Mondou
Andy Moog
Arthur A. C. Moore
Dickie Moore
Paddy Moran
Howie Morenz
Bernie Morris
Elwyn Morris
Ken Morrow
Gus Mortson
Ken Mosdell
Alex Motter
Joe Motzko
Johnny Mowers
John Muckler
Bryan Muir
Pete Muldoon
Joe Mullen
Kirk Muller
Harry Mummery
Craig Muni
Dunc Munro
Bob Murdoch
Murray Murdoch
Joe Murphy
Larry Murphy
Ron Murphy
Robert Frederick Murray
Troy Murray
Dana Murzyn
Phil Myre
Mark Napier
Mats Näslund
Ric Nattress
Stanislav Neckář
Mike Needham
Sergei Nemchinov
Eric Nesterenko
Bob Nevin
Rob Niedermayer
Scott Niedermayer
Antti Niemi
Ville Nieminen
Joe Nieuwendyk
Frank Nighbor
Chris Nilan
Jim Nill
Kent Nilsson
Reg Noble
Pat Nolan
Simon Nolet
Brian Noonan
Bruce Norris
James D. Norris
James E. Norris
Marguerite Norris
Lawrence Northcott
William Northey
Mike Nykoluk
Bill Nyrop
Bob Nystrom
Eddie Oatman
Buddy O'Connor
Lyle Odelein
Sean O'Donnell
George O'Donoghue
Fredrik Olausson
